Menu Items,Per Serve Size,Energy (kCal),Total fat (g),Sat Fat (g),Trans fat (g),Cholesterols (mg),Sodium (mg),Total carbohydrate (g),Dietary Fiber (g),Total Sugars (g),Added Sugars (g),Protein (g),Food chain,Menu Category,Calories from Fat,Total Fat (% Daily Value),Saturated Fat (% Daily Value),Cholesterol (% Daily Value),Sodium (% Daily Value),Carbohydrates (% Daily Value),Dietary Fiber (% Daily Value),Vitamin A (% Daily Value),Vitamin C (% Daily Value),Calcium (% Daily Value),Iron (% Daily Value)
Egg McMuffin,4.8 oz (136 g),300,13,5,0,260,750,31,4,3,,17,McD,Breakfast,120,20,25,87,31,10,17,10,0,25,15
Egg White Delight,4.8 oz (135 g),250,8,3,0,25,770,30,4,3,,18,McD,Breakfast,70,12,15,8,32,10,17,6,0,25,8
Sausage McMuffin,3.9 oz (111 g),370,23,8,0,45,780,29,4,2,,14,McD,Breakfast,200,35,42,15,33,10,17,8,0,25,10
Sausage McMuffin with Egg,5.7 oz (161 g),450,28,10,0,285,860,30,4,2,,21,McD,Breakfast,250,43,52,95,36,10,17,15,0,30,15
Sausage McMuffin with Egg Whites,5.7 oz (161 g),400,23,8,0,50,880,30,4,2,,21,McD,Breakfast,210,35,42,16,37,10,17,6,0,25,10
Steak & Egg McMuffin,6.5 oz (185 g),430,23,9,1,300,960,31,4,3,,26,McD,Breakfast,210,36,46,100,40,10,18,15,2,30,20
"Bacon, Egg & Cheese Biscuit (Regular Biscuit)",5.3 oz (150 g),460,26,13,0,250,1300,38,2,3,,19,McD,Breakfast,230,40,65,83,54,13,7,10,8,15,15
"Bacon, Egg & Cheese Biscuit (Large Biscuit)",5.8 oz (164 g),520,30,14,0,250,1410,43,3,4,,19,McD,Breakfast,270,47,68,83,59,14,12,15,8,20,20
"Bacon, Egg & Cheese Biscuit with Egg Whites (Regular Biscuit)",5.4 oz (153 g),410,20,11,0,35,1300,36,2,3,,20,McD,Breakfast,180,32,56,11,54,12,7,2,8,15,10
"Bacon, Egg & Cheese Biscuit with Egg Whites (Large Biscuit)",5.9 oz (167 g),470,25,12,0,35,1420,42,3,4,,20,McD,Breakfast,220,38,59,11,59,14,12,6,8,15,15
Sausage Biscuit (Regular Biscuit),4.1 oz (117 g),430,27,12,0,30,1080,34,2,2,,11,McD,Breakfast,240,42,62,10,45,11,6,0,0,6,15
Sausage Biscuit (Large Biscuit),4.6 oz (131 g),480,31,13,0,30,1190,39,3,3,,11,McD,Breakfast,280,48,65,10,50,13,11,4,0,8,15
Sausage Biscuit with Egg (Regular Biscuit),5.7 oz (163 g),510,33,14,0,250,1170,36,2,2,,18,McD,Breakfast,290,50,71,83,49,12,6,6,0,10,20
Sausage Biscuit with Egg (Large Biscuit),6.2 oz (177 g),570,37,15,0,250,1280,42,3,3,,18,McD,Breakfast,330,57,74,83,53,14,11,10,0,10,20
Sausage Biscuit with Egg Whites (Regular Biscuit),5.9 oz (167 g),460,27,12,0,35,1180,34,2,3,,18,McD,Breakfast,250,42,62,11,49,11,6,0,0,8,15
Sausage Biscuit with Egg Whites (Large Biscuit),6.4 oz (181 g),520,32,13,0,35,1290,40,3,3,,18,McD,Breakfast,280,49,65,11,54,13,11,4,0,8,15
Southern Style Chicken Biscuit (Regular Biscuit),5 oz (143 g),410,20,8,0,30,1180,41,2,3,,17,McD,Breakfast,180,31,41,10,49,14,6,0,2,6,15
Southern Style Chicken Biscuit (Large Biscuit),5.5 oz (157 g),470,24,9,0,30,1290,46,3,4,,17,McD,Breakfast,220,37,45,10,54,15,11,4,2,8,15
Steak & Egg Biscuit (Regular Biscuit),7.1 oz (201 g),540,32,16,1,280,1470,38,2,3,,25,McD,Breakfast,290,49,78,93,61,13,8,10,2,20,25
"Bacon, Egg & Cheese McGriddles",6.1 oz (174 g),460,21,9,0,250,1250,48,2,15,,19,McD,Breakfast,190,32,44,84,52,16,9,10,10,20,15
"Bacon, Egg & Cheese McGriddles with Egg Whites",6.3 oz (178 g),400,15,7,0,35,1250,47,2,16,,20,McD,Breakfast,140,24,34,11,52,16,9,2,10,15,10
Sausage McGriddles,5 oz (141 g),420,22,8,0,35,1030,44,2,15,,11,McD,Breakfast,200,34,40,11,43,15,8,0,0,8,10
"Sausage, Egg & Cheese McGriddles",7.1 oz (201 g),550,31,12,0,265,1320,48,2,15,,20,McD,Breakfast,280,48,61,89,55,16,9,10,0,20,15
"Sausage, Egg & Cheese McGriddles with Egg Whites",7.2 oz (205 g),500,26,10,0,50,1320,46,2,15,,21,McD,Breakfast,230,40,52,17,55,15,9,2,0,20,10
"Bacon, Egg & Cheese Bagel",6.9 oz (197 g),620,31,11,0.5,275,1480,57,3,7,,30,McD,Breakfast,280,48,56,92,62,19,11,20,15,20,20
"Bacon, Egg & Cheese Bagel with Egg Whites",7.1 oz (201 g),570,25,9,0.5,60,1480,55,3,8,,30,McD,Breakfast,230,39,45,20,62,18,12,10,15,20,15
