Menu Item,Item Type,Item Temp,Wheat,Gluten,Milk,Egg,Soy,Peanuts,Tree Nuts,Fish,Shellfish,Sesame,Mustard,Sulphites,Food chain,Barley,Oat,Rye,Triticale
Bacon & Hash Brown More-Ning McWrap,Breakfast,Hot,X,,X,X,X,,,,,,,,McD,,,,
Bacon 'N Egg McMuffin,,Hot,X,,X,X,X,,,,,,,,McD,X,,,
Bacon ‘N Egg Bagel with Cinnamon & Raisin Bagel,,Hot,X,,X,X,X,,,,,o,,,McD,X,,,
Bacon ‘N Egg Bagel with Everything Bagel,,Hot,X,,X,X,X,,,,,X,,,McD,,,,
Bacon ‘N Egg Bagel with Multigrain Bagel,,Hot,X,,X,X,X,,,,,X,,,McD,X,X,X,
Bacon ‘N Egg Bagel with Plain Bagel,,Hot,X,,X,X,X,,,,,o,,,McD,X,,,
Bacon ‘N Egg Bagel with Sesame Bagel,,Hot,X,,X,X,X,,,,,X,,,McD,,,,
"Bacon, Egg & Cheese McGriddles",,Hot,X,,X,X,X,,,,,,,,McD,X,,,
Big Breakfast,,Hot,X,,X,X,,,,,,,,,McD,X,,,
Breakfast Burrito,,Hot,X,,X,X,X,,,,,,,,McD,,,,
Cinnamon & Raisin Bagel with Butter,,Hot,X,,X,,X,,,,,o,,,McD,X,,,
Cinnamon & Raisin Bagel With Herb & Garlic Cream Cheese Product,,Hot,X,,X,,X,,,,,o,,,McD,X,,,
Cinnamon & Raisin Bagel With Regular Cream Cheese Product,,Hot,X,,X,,X,,,,,o,,,McD,X,,,
Egg BLT Bagel with Cinnamon & Raisin Bagel,,Hot,X,,X,X,X,,,,,o,X,,McD,X,,,
Egg BLT Bagel with Everything Bagel,,Hot,X,,X,X,o,,,,,X,X,,McD,,,,
Egg BLT Bagel with Multigrain Bagel,,Hot,X,,X,X,o,,,,,X,X,,McD,X,X,X,
Egg BLT Bagel with Plain Bagel,,Hot,X,,X,X,o,,,,,o,X,,McD,X,,,
Egg BLT Bagel with Sesame Bagel,,Hot,X,,X,X,o,,,,,X,X,,McD,,,,
Egg BLT McMuffin,,Hot,X,,X,X,X,,,,,,X,,McD,X,,,
Egg McMuffin,,Hot,X,,X,X,X,,,,,,,,McD,X,,,
English Muffin with Butter,,Hot,X,,X,,,,,,,,,,McD,X,,,
Everything Bagel with Butter,,Hot,X,,X,,o,,,,,X,,,McD,,,,
Everything Bagel With Herb & Garlic Cream Cheese Product,,Hot,X,,X,,o,,,,,X,,,McD,,,,
Everything Bagel With Regular Cream Cheese Product,,Hot,X,,X,,o,,,,,X,,,McD,,,,
Hash Browns,,Hot,,,,,,,,,,,,,McD,,,,
Hotcakes with Syrup and Butter,,Hot,X,,X,X,X,,,,,,,,McD,,,,
Multigrain Bagel with Butter,,Hot,X,,X,,o,,,,,X,,,McD,X,X,X,
