Menu Item,Item Type,Item Temp,Wheat,Gluten,Milk,Egg,Soy,Peanuts,Tree Nuts,Fish,Shellfish,Sesame,Mustard,Sulphites,Food chain
Cheesy Tex Mex Bread,Bread,Hot,x,x,x,,x,,,,,,,,subway
English Muffin,Bread,Hot,x,x,,,,,,,,,,,subway
Flat bread,Bread,Hot,x,x,o,,,,,,,,,,subway
Gluten-Free Bread1,Bread,Hot,,,,x,,,,,,,,,subway
Italian (White) Bread,Bread,Hot,x,x,,,x,,,,,,,,subway
Italian Herbs and Cheese Bread,Bread,Hot,x,x,x,,x,,,,,,,,subway
Multigrain Bread,Bread,Hot,x,x,,,x,,,,,,,,subway
Potato Bun,Bread,Hot,x,x,o,x,,,,,,o,,,subway
Wrap,Bread,Hot,x,x,,,x,,,,,,,,subway
Bacon Strips,"Meat , Poultry , Seafood & Eggs",Hot,,,,,,,,,,,,,subway
"Chicken, Grilled","Meat , Poultry , Seafood & Eggs",Hot,,,,,x,,,,,,,,subway
"Chicken, Crispy","Meat , Poultry , Seafood & Eggs",Hot,x,x,x,x,o,,,,,,,,subway
Chicken Strips - Plain,"Meat , Poultry , Seafood & Eggs",Hot,,,,,x,,,,,,,,subway
Chicken Strips - Teriyaki Glazed,"Meat , Poultry , Seafood & Eggs",Hot,x,x,,,x,,,,,x,,,subway
Cold Cut  Combo Meats,"Meat , Poultry , Seafood & Eggs",Hot,,,x,,,,,,,,x,,subway
Egg Omelet  Patty,"Meat , Poultry , Seafood & Eggs",Hot,,,x,x,,,,,,,,,subway
"Ham, Black Forest","Meat , Poultry , Seafood & Eggs",Hot,,,,,,,,,,,,,subway
Italian BMT® Meats,"Meat , Poultry , Seafood & Eggs",Hot,,,,,,,,,,,x,,subway
Meat balls with Marinara,"Meat , Poultry , Seafood & Eggs",Hot,x,x,x,,x,,,,,,,,subway
Pepperoni,"Meat , Poultry , Seafood & Eggs",Hot,,,,,,,,,,,x,,subway
Roast  Beef,"Meat , Poultry , Seafood & Eggs",Hot,,,,,x,,,,,,,,subway
