Menu Item,Item Type,Item Temp,Wheat,Gluten,Milk,Egg,Soy,Peanuts,Tree Nuts,Fish,Shellfish,Sesame,Mustard,Sulphites,Food chain
Original Blend Coffee,Hot Beverages,Hot,,,,,,,,,,,,,timhortons
Dark Roast Coffee,Hot Beverages,Hot,,,,,,,,,,,,,timhortons
Decaf Coffee,Hot Beverages,Hot,,,,,,,,,,,,,timhortons
Regular Coffee,Hot Beverages,Hot,,,x,,,,,,,,,,timhortons
Double Double Coffee,Hot Beverages,Hot,,,x,,,,,,,,,,timhortons
Cappuccino,Hot Beverages,Hot,,,x,,,,o,,,,,,timhortons
Latte,Hot Beverages,Hot,,,x,,,,o,,,,,,timhortons
Coffee Mocha,Hot Beverages,Hot,,,x,,o,,,,,,,,timhortons
French Vanilla,Hot Beverages,Hot,,,x,,x,,,,,,,,timhortons
Hot Chocolate,Hot Beverages,Hot,,,x,,o,,,,,,,,timhortons
White Hot Chocolate,Hot Beverages,Hot,,,x,,,,,,,,,,timhortons
London Fog,Hot Beverages,Hot,,,x,,,,o,,,,,,timhortons
Bagged Tea,Hot Beverages,Hot,,,,,,,,,,,,,timhortons
Steeped Tea,Hot Beverages,Hot,,,,,,,,,,,,,timhortons
Roasted Hazelnut Latte,Hot Beverages,Hot,,,x,,,,o,,,,,,timhortons
Pumpkin Spice Latte,Hot Beverages,Hot,o,o,x,,o,,,,,,o,o,timhortons
Iced Coffee,Cold Beverages,Cold,,,x,,,,,,,,,,timhortons
Light Iced Coffee,Cold Beverages,Cold,,,x,,,,,,,,,,timhortons
Original Cold Brew,Cold Beverages,Cold,,,,,,,,,,,,,timhortons
Vanilla Cream Cold Brew,Cold Beverages,Cold,,,x,,,,,,,,,,timhortons
Original Iced Capp®,Cold Beverages,Cold,,,x,,,,o,,,,,,timhortons
Light Iced Capp®,Cold Beverages,Cold,,,x,,,,o,,,,,,timhortons
Mocha Iced Capp®,Cold Beverages,Cold,,,x,,x,,o,,,,,o,timhortons
Vanilla Iced Capp®,Cold Beverages,Cold,,,x,,x,,o,,,,,o,timhortons
Caramel Iced Capp®,Cold Beverages,Cold,,,x,,x,,o,,,,,o,timhortons
Chocolate Creamy Chill,Cold Beverages,Cold,,,x,,x,,o,,,,,o,timhortons
Vanilla Creamy Chill,Cold Beverages,Cold,,,x,,x,,o,,,,,o,timhortons
Strawberry Creamy Chill,Cold Beverages,Cold,,,x,,x,,o,,,,,o,timhortons
Strawberry Smoothie,Cold Beverages,Cold,,,x,,o,,o,,,,,,timhortons
Frozen Lemonade,Cold Beverages,Cold,,,o,,o,,o,,,,,o,timhortons
Strawberry Frozen Lemonade,Cold Beverages,Cold,,,o,,o,,o,,,,,o,timhortons
Classic Lemonade,Cold Beverages,Cold,,,,,,,,,,,,,timhortons
Peach Quencher,Cold Beverages,Cold,,,,,,,,,,,,,timhortons
Strawberry Watermelon Quencher,Cold Beverages,Cold,,,,,,,,,,,,,timhortons
Passionfruit Tea Lemonade Quencher,Cold Beverages,Cold,,,,,,,,,,,,,timhortons
Iced Tea Quencher,Cold Beverages,Cold,,,,,,,,,,,,,timhortons
"Roasted Hazelnut Cold Brew
with Espresso Infused Foam",Cold Beverages,Cold,,,x,,x,,,,,,,,timhortons
French Vanilla Cold Brew,Cold Beverages,Cold,,,x,,,,,,,,,,timhortons
Pumpkin Spice Iced Capp®,Cold Beverages,Cold,o,o,x,,o,,,,,,o,o,timhortons
Chocolate Syrup,Flavoured Beverage Syrups,Cold,,,,,,,,,,,,,timhortons
Vanilla Syrup,Flavoured Beverage Syrups,Cold,,,,,,,,,,,,,timhortons
Caramel Syrup,Flavoured Beverage Syrups,Cold,,,x,,,,,,,,,,timhortons
Roasted Hazelnut Syrup,Flavoured Beverage Syrups,Cold,,,,,,,,,,,,,timhortons
French Vanilla Syrup,Flavoured Beverage Syrups,Cold,,,,,,,,,,,,,timhortons
Pumpkin Spice Syrup,Flavoured Beverage Syrups,Cold,o,o,x,,o,,,,,,o,o,timhortons
Apple Fritter Donut,Donuts,Hot,x,x,x,o,o,,o,,,,,o,timhortons
Blueberry Donut,Donuts,Hot,x,x,x,x,x,,o,,,,,o,timhortons
Boston Cream Donut,Donuts,Hot,x,x,x,o,o,,o,,,,,x,timhortons
Canadian Maple Donut,Donuts,Hot,x,x,x,o,o,,o,,,,,o,timhortons
Chocolate Cruller Donut,Donuts,Hot,x,x,x,x,o,,o,,,,,x,timhortons
Chocolate Dip Donut,Donuts,Hot,x,x,x,o,o,,o,,,,,x,timhortons
Chocolate  Éclair Donut,Donuts,Hot,x,x,x,o,x,,o,,,,,x,timhortons
Chocolate Glazed Donut,Donuts,Hot,x,x,x,x,x,,o,,,,,o,timhortons
Chocolate Marble Donut,Donuts,Hot,x,x,x,x,x,,o,,,,,x,timhortons
Chocolate Snow Donut,Donuts,Hot,x,x,x,x,x,,o,,,,,o,timhortons
Chocolate Toasted Coconut Donut,Donuts,Hot,x,x,x,x,x,,o,,,,,o,timhortons
Coconut Cream Donut,Donuts,Hot,x,x,x,o,o,,o,,,,,o,timhortons
Double Chocolate Donut,Donuts,Hot,x,x,x,x,x,,o,,,,,x,timhortons
Honey Cruller Donut,Donuts,Hot,x,x,x,x,o,,o,,,,,o,timhortons
Honey Dip Donut,Donuts,Hot,x,x,x,o,o,,o,,,,,o,timhortons
Long John Donut,Donuts,Hot,x,x,x,o,o,,o,,,,,x,timhortons
Maple Cruller Donut,Donuts,Hot,x,x,x,x,o,,o,,,,,o,timhortons
Maple Dip Donut,Donuts,Hot,x,x,x,o,o,,o,,,,,o,timhortons
Maple Éclair Donut,Donuts,Hot,x,x,x,o,x,,o,,,,,o,timhortons
Maple Swirl Donut,Donuts,Hot,x,x,x,o,o,,o,,,,,o,timhortons
Old Fashioned Dip Donut,Donuts,Hot,x,x,x,x,x,,o,,,,,x,timhortons
Old Fashioned Glazed Donut,Donuts,Hot,x,x,x,x,x,,o,,,,,o,timhortons
Old Fashioned Plain Donut,Donuts,Hot,x,x,x,x,x,,o,,,,,o,timhortons
Old Fashioned Snow Donut,Donuts,Hot,x,x,x,x,x,,o,,,,,o,timhortons
Old Fashioned Sugar Donut,Donuts,Hot,x,x,x,x,x,,o,,,,,o,timhortons
Raspberry Filled Donut,Donuts,Hot,x,x,x,o,o,,o,,,,,o,timhortons
Sour Cream Glazed Donut,Donuts,Hot,x,x,x,x,x,,o,,,,,o,timhortons
Sour Cream Plain Donut,Donuts,Hot,x,x,x,x,x,,o,,,,,o,timhortons
Sour Cream Sugar Donut,Donuts,Hot,x,x,x,x,x,,o,,,,,o,timhortons
Strawberry Dip Donut,Donuts,Hot,x,x,x,o,o,,o,,,,,o,timhortons
Strawberry Filled Donut,Donuts,Hot,x,x,x,o,o,,o,,,,,o,timhortons
Strawberry Vanilla Donut,Donuts,Hot,x,x,x,o,o,,o,,,,,o,timhortons
Sugar Loop Donut,Donuts,Hot,x,x,x,o,o,,o,,,,,o,timhortons
Toasted Coconut Donut,Donuts,Hot,x,x,x,x,x,,o,,,,,o,timhortons
Vanilla Dip Donut,Donuts,Hot,x,x,x,o,o,,o,,,,,o,timhortons
Pumpkin Spice Dream Donut,Donuts,Hot,x,x,x,x,x,o,o,,,o,,o,timhortons
Creamy Maple Pecan Dream Donut,Donuts,Hot,x,x,x,o,x,o,x,,,,,x,timhortons
